area_type,availability,location,size,society,total_sqft,bath,balcony,price
Built-up  Area,Ready To Move,Chikkalasandra,2,KsonsCa,1070,2,2,50.0
Super built-up  Area,Ready To Move,Jalahalli East,2,ShshaSa,1020,2,1,42.48
Super built-up  Area,Ready To Move,Akshaya Vana,3,Rainet ,1300,2,1,49.0
Super built-up  Area,Ready To Move,Hebbal,2,Mahosya,1420,2,1,123.0
Carpet  Area,18-Dec,Hebbal,3,Arcia S,1069,3,2,65.4
Super built-up  Area,Ready To Move,Marathahalli,3,PueraRi,1900,3,3,123.0
Super built-up  Area,18-May,Old Airport Road,2,Jaades ,1655,2,1,97.65
Super built-up  Area,Ready To Move,Uttarahalli,2,SLnssPr,1155,2,2,40.42
Built-up  Area,Ready To Move,Sarjapur  Road,3,Esatea ,1300,2,2,70.0
Super built-up  Area,Ready To Move,Electronic City,2,Amhidte,1100,2,2,45.0
Super built-up  Area,Ready To Move,Doddathoguru,2,Arensh ,1030,2,2,42.0
Super built-up  Area,Ready To Move,Vittasandra,2,Prlla C,2105,2,1,70.2
Built-up  Area,Ready To Move,Bhoganhalli,3,Prsun S,1700,3,2,126.0
Super built-up  Area,Ready To Move,Jakkur,3,BrdgeNo,1760,3,2,139.0
Built-up  Area,Ready To Move,Bannerghatta Road,2,Haaceal,912,2,1,55.0
Super built-up  Area,Ready To Move,Channasandra Layout,3,Aconyit,1535,3,1,55.0
Super built-up  Area,Ready To Move,Haralur Road,2,RInceeg,1243,2,2,46.0
Super built-up  Area,Ready To Move,Jigani,2,DLhtsan,918,2,2,63.2
Super built-up  Area,Ready To Move,Begur Road,3,MJilayl,1500,2,3,70.0
Super built-up  Area,Ready To Move,OMBR Layout,2,Drerspe,1300,2,2,80.0
Built-up  Area,Ready To Move,Koramangala,2,Vaanda ,1140,2,1,75.2
Super built-up  Area,Ready To Move,Sarjapur  Road,3,Asncywo,1725,3,3,90.0
Super built-up  Area,18-May,Hebbal,4,SNontle,3067,4,1,310.0
Super built-up  Area,18-Mar,Hennur Road,3,Koagati,1186,2,1,63.0
Super built-up  Area,18-Dec,Kanakpura Road,2,PrityFa,1230,2,1,85.0
Super built-up  Area,Ready To Move,Basavangudi,2,Tinori ,1036,2,2,105.0
Super built-up  Area,Ready To Move,Old Madras Road,2,Teilsaf,1100,2,1,70.0
Built-up  Area,Ready To Move,Electronics City Phase 1,2,GaicaVe,1015,2,1,56.0
Super built-up  Area,Ready To Move,Nehru Nagar,3,Ceste C,2167,3,3,170.0
Super built-up  Area,Ready To Move,Gopalkrishna Nagar,2,MJarlPe,1165,2,2,75.0
Super built-up  Area,Ready To Move,BTM 2nd Stage,2,NDclenn,1274,2,2,70.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,GrrvaGr,1151,2,2,39.02
Super built-up  Area,Ready To Move,Thubarahalli,3,ShdhiSa,1626,2,2,120.0
Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3,Spensas,1570,2,2,65.0
Built-up  Area,Ready To Move,Volagerekallahalli,2,PSterAs,117Sq. Yards,2,2,38.0
Super built-up  Area,Ready To Move,Keerthi Layout,2,NianaKe,780,2,2,25.0
Built-up  Area,Ready To Move,Kereguddadahalli,2,DSdorSp,904,2,1,30.0
Super built-up  Area,Ready To Move,Shikaripalya,2,ALtonea,1121,2,1,43.72
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3,Vasta C,1385,2,2,58.17
Super built-up  Area,Ready To Move,Sahakara Nagar,2,Rauil T,1270,2,1,69.85
Super built-up  Area,Ready To Move,Kanakpura Road,3,JRrnauv,1450,3,3,56.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3,GrrvaGr,1580,3,3,53.56
Super built-up  Area,Ready To Move,Thanisandra,2,Teire G,1111,2,1,50.0
Super built-up  Area,Ready To Move,Varthur,2,Maine J,977,2,2,36.0
Plot  Area,Ready To Move,Sarjapur,4,Puodsm ,2540,4,1,115.0
Super built-up  Area,17-Dec,Jakkur,2,BrdgeNo,1290,2,1,100.0
Super built-up  Area,Ready To Move,Abbigere,2,SLtias ,795,2,1,32.54
Built-up  Area,Ready To Move,Jayanagar,3,Rathira,1875,2,3,235.0
Plot  Area,Ready To Move,Marsur,3,AreraRe,1200,3,1,90.0
Super built-up  Area,Ready To Move,Hoskote,3,Deiveer,1225,3,1,40.0
Super built-up  Area,Ready To Move,Bellandur,2,Trows M,900,2,2,56.0
Super built-up  Area,19-Dec,Binny Pete,2,She 2rk,1350,2,1,91.0
Carpet  Area,Ready To Move,LB Shastri Nagar,2,CharkR ,1043,2,2,55.0
Super built-up  Area,Ready To Move,Hebbal,2,Diaveic,1040,2,2,46.0
Super built-up  Area,Ready To Move,Tindlu,3,Shmolti,1357,2,2,65.0
Super built-up  Area,Ready To Move,Doddathoguru,3,SKterAs,1549,3,2,65.0
Super built-up  Area,Ready To Move,Yeshwanthpur,2,Goandn ,1400,2,2,100.0
Super built-up  Area,Ready To Move,Dodda Nekkundi,2,MavarSa,1080,2,2,50.0
Built-up  Area,Ready To Move,Ulsoor,2,Rilor C,1180,2,2,100.0
Super built-up  Area,Ready To Move,Domlur,3,Saiewas,1800,3,2,150.0
Super built-up  Area,18-Aug,Haralur Road,2,SNnia E,1225,2,1,67.38
Super built-up  Area,Ready To Move,Abbigere,2,SLtias ,1005,2,1,39.59
Super built-up  Area,Ready To Move,Whitefield,2,BrlisCo,1320,2,1,95.0
Super built-up  Area,Ready To Move,Hagadur,2,SSoraba,1110,2,2,51.0
Super built-up  Area,18-Aug,Electronic City,2,Prarkun,1128,2,1,65.35
Super built-up  Area,22-May,Jakkur,2,SoineC ,1452.19,2,1,100.0
Built-up  Area,Ready To Move,Soundarya Layout,2,Goe 3la,960,2,2,32.0
Built-up  Area,Ready To Move,Whitefield,2,JahanSa,735,2,1,35.0
Super built-up  Area,Ready To Move,Hebbal,2,Mahosya,1420,2,1,99.39
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3,Eladero,1575,2,2,110.0
Super built-up  Area,Ready To Move,Thigalarapalya,2,Prtanha,1418,2,2,104.0
Super built-up  Area,Ready To Move,Hennur Road,2,GSideS ,1065,2,1,42.6
Built-up  Area,18-Aug,Electronic City Phase II,2,Sryalan,1160,2,1,33.5
Super built-up  Area,Ready To Move,Kudlu,2,Srrnasa,1092,2,2,44.0
Super built-up  Area,Ready To Move,Parappana Agrahara,2,Peide L,1194,2,2,47.0
Super built-up  Area,Ready To Move,Yelahanka,3,Apows M,1455,3,1,61.5
Built-up  Area,Ready To Move,Samethanahalli,2,SPontna,799,2,1,38.0
Super built-up  Area,Ready To Move,Ardendale,2,Miwel M,1100,2,1,48.0
Super built-up  Area,18-Apr,Electronic City,2,Prarkun,1128,2,1,65.0
Super built-up  Area,Ready To Move,Cunningham Road,3,Lelia M,3875,3,2,864.0
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2,MBodsen,1098,2,1,43.91
Super built-up  Area,Ready To Move,Dollars Layout,3,Sancya ,1460,3,2,88.0
Super built-up  Area,Ready To Move,Varthur,2,Hirio L,1091,2,1,32.0
Super built-up  Area,Ready To Move,RMV Extension,3,DSureSi,1685,3,2,95.0
Plot  Area,Ready To Move,Whitefield,3,Chpana ,3010,3,2,200.0
Super built-up  Area,18-Apr,Whitefield,2,Prtates,1346,2,1,96.17
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3,Brngsal,1850,3,2,140.0
Super built-up  Area,Ready To Move,Parappana Agrahara,2,Peide L,1194,2,2,46.0
Super built-up  Area,18-Jul,Hebbal,4,Cehosy ,4235,4,2,365.0
Super built-up  Area,Ready To Move,Rachenahalli,3,Leino C,2250,3,1,195.0
Super built-up  Area,Ready To Move,Vijayanagar,2,Rancy R,1352,2,2,68.0
Super built-up  Area,Ready To Move,Thanisandra,3,Soitya ,2002,3,2,112.0
Built-up  Area,Ready To Move,Kaval Byrasandra,2,KuncyRe,1060,2,2,45.0
Super built-up  Area,Ready To Move,Kanakpura Road,3,SoapeSu,1419.59,2,1,59.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,GrrvaGr,1196,2,2,51.15
Super built-up  Area,18-Apr,Electronics City Phase 1,3,Shitt S,1595,3,2,75.0
Super built-up  Area,Ready To Move,Frazer Town,2,Asneren,1550,2,2,140.0
Built-up  Area,Ready To Move,Akshaya Nagar,3,DLhtsnd,1662,3,2,85.0
Super built-up  Area,Ready To Move,Ambedkar Nagar,3,SoechHa,1862,3,2,119.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,GrrvaGr,1419,2,2,48.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3,PrrvaPl,1560,2,2,62.4
Super built-up  Area,19-Nov,Thanisandra,3,Bhe 2ko,1634,3,3,78.0
Plot  Area,Ready To Move,Ambedkar Nagar,5,Thessrm,5530,5,3,627.0
Super built-up  Area,17-Dec,Nagavarapalya,2,PuonsSe,1392,2,1,99.0
Super built-up  Area,19-Dec,Jakkur,3,Ceezey ,1798,3,1,120.0
Super built-up  Area,Ready To Move,Babusapalaya,3,Veisear,1675,3,3,75.0
Super built-up  Area,19-Jun,Hebbal,3,Raard B,1700,3,2,124.0
Super built-up  Area,Ready To Move,Hulimavu,2,Vandak ,1248,2,1,69.0
Built-up  Area,Ready To Move,Kalkere,2,Sanetra,1147,2,1,54.0
Super built-up  Area,Ready To Move,Sultan Palaya,2,HintsAp,1100,2,2,40.0
Super built-up  Area,Ready To Move,Vijayanagar,3,Rancy R,1527,3,2,115.0
Built-up  Area,Ready To Move,Gopal Reddy Layout,3,Krestee,2100,3,1,75.0
Super built-up  Area,Ready To Move,Ambalipura,2,Dimes E,1332,2,1,79.0
Super built-up  Area,Ready To Move,Haralur Road,2,RInceeg,1243,2,2,46.0
Super built-up  Area,Ready To Move,Kasavanhalli,2,TRensre,1200,2,2,50.0
Super built-up  Area,18-Jun,Ramagondanahalli,2,ViistLa,1251,2,1,47.4
Super built-up  Area,Ready To Move,Kambipura,2,Prrtht ,883,2,1,45.0
Super built-up  Area,Ready To Move,Pai Layout,3,Tencyes,1400,2,3,67.0
Super built-up  Area,Ready To Move,Rajaji Nagar,3,Brway G,1800,3,3,260.0
Super built-up  Area,Ready To Move,Hegde Nagar,3,Soiniy ,1703,3,2,113.0
Super built-up  Area,Ready To Move,Jigani,2,DLhtsen,933,2,2,43.0
Super built-up  Area,Ready To Move,Brookefield,2,Mapleer,1262,2,1,75.0
Super built-up  Area,Ready To Move,Yelahanka,2,Rarthne,915,2,2,48.0
Super built-up  Area,Ready To Move,Panathur,3,Saite G,1370,2,2,61.5
Super built-up  Area,Ready To Move,Thanisandra,3,MNlam G,1445,2,3,40.31
Super built-up  Area,Ready To Move,Uttarahalli,3,Evood S,1300,2,1,55.0
Super built-up  Area,Ready To Move,Jakkur,2,HRaniIb,1300,2,1,85.0
Super built-up  Area,18-Jul,Chandapura,3,SunceEs,1185,2,2,30.22
Super built-up  Area,Ready To Move,Hennur Road,2,Maity W,1385,2,1,83.09
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2,RothaVa,1149,2,1,75.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3,Adeatlm,2180,3,2,170.0
Super built-up  Area,Ready To Move,Hulimavu,3,NiarkHy,1818,3,1,135.0
Super built-up  Area,Ready To Move,Rajaji Nagar,3,Brway G,1640,3,2,241.0
Built-up  Area,Ready To Move,Nagarbhavi,3,DSesthr,1350,2,2,54.6
Super built-up  Area,22-Jun,Hoodi,2,GoAirej,1430,2,2,113.0
Super built-up  Area,Ready To Move,Hennur Road,3,Koagati,1186,2,1,56.0
Built-up  Area,Ready To Move,Kengeri,2,Vaens G,1255,2,2,50.0
Super built-up  Area,18-Dec,Hosa Road,3,Mahesr ,1541,3,1,69.84
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,NaonySy,1295,2,2,70.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3,SrncyRe,1370,2,2,54.79
Super built-up  Area,Ready To Move,Electronic City,2,DSgmax ,1100,2,1,40.0
Super built-up  Area,Ready To Move,Rajaji Nagar,2,Brway G,1370,2,1,170.0
Super built-up  Area,Ready To Move,JP Nagar,2,DSillto,1200,2,2,62.0
Super built-up  Area,Ready To Move,Dasanapura,3,Tavenew,1286,3,2,61.44
Super built-up  Area,Ready To Move,Begur Road,2,Dhalsh ,1160,2,2,42.0
Super built-up  Area,Ready To Move,Jigani,2,DLhtsan,918,2,2,55.0
Super built-up  Area,21-Dec,Electronic City,3,KonteiT,1563,3,2,91.84
Super built-up  Area,Ready To Move,Kaggadasapura,2,JaaldEm,1325,2,2,50.0
Super built-up  Area,Ready To Move,Sonnenahalli,2,Whosone,1100,2,1,44.0
Super built-up  Area,Ready To Move,Cunningham Road,3,Lelia M,3875,3,2,800.0
Super built-up  Area,Ready To Move,Gollarapalya Hosahalli,3,Mauner ,1605,3,2,50.0
Super built-up  Area,Ready To Move,Somasundara Palya,2,Srhts P,1260,2,1,60.0
Super built-up  Area,19-Dec,Hoodi,3,Caycend,1553,3,2,83.09
Super built-up  Area,Ready To Move,Whitefield,2,BMttaor,1280,2,2,52.0
Super built-up  Area,Ready To Move,Hebbal,3,Arade A,1550,2,2,75.0
Super built-up  Area,Ready To Move,Murugeshpalya,3,PintsAp,1550,3,2,74.0
Super built-up  Area,Ready To Move,Electronics City Phase 1,3,SNdri N,1515,2,1,80.91
Super built-up  Area,19-Mar,Hosa Road,3,Skume R,1332,2,1,86.12
Super built-up  Area,Ready To Move,Electronic City,3,Briumri,1652,3,2,70.0
Super built-up  Area,Ready To Move,Hegde Nagar,3,Sonosty,1570,3,1,105.0
Plot  Area,Ready To Move,Sarjapur  Road,4,Adeatlm,5400,4,3,725.0
Built-up  Area,Ready To Move,7th Phase JP Nagar,4,RBRWAyo,3600,3,2,410.0
Super built-up  Area,Ready To Move,HRBR Layout,3,VDenaWa,2800,3,2,250.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3,SocusHi,1750,3,2,110.0
Super built-up  Area,21-Dec,Kanakpura Road,3,PrarePa,1100,3,2,53.0
Super built-up  Area,Ready To Move,Kadubeesanahalli,3,Srhan P,1665,3,3,70.0
Plot  Area,Ready To Move,Outer Ring Road East,4,PrstaTe,4051,4,3,345.0
Built-up  Area,Ready To Move,Bommasandra,3,KBaleoy,1447,3,2,80.0
Built-up  Area,Ready To Move,Balagere,2,Soresea,1012,2,1,75.0
Super built-up  Area,Ready To Move,Malleshpalya,3,Saestde,1900,3,2,60.0
Super built-up  Area,Ready To Move,Narayanapura,2,AriosHe,1308,2,2,92.66
Super built-up  Area,18-Aug,Gunjur,2,BMineis,1140,2,2,49.11
Super built-up  Area,Ready To Move,Kanakapura,3,SPavenc,1290,3,3,45.15
Super built-up  Area,Ready To Move,Ambedkar Nagar,2,SoechHa,1424,2,2,90.0
Built-up  Area,Ready To Move,Akshaya Nagar,3,DLhtsnd,1662,3,2,85.5
Super built-up  Area,Ready To Move,Shanthala Nagar,5,Kierser,8321,5,3,2700.0
Super built-up  Area,Ready To Move,Begur Road,2,Dhalsh ,1200,2,2,45.0
Super built-up  Area,Ready To Move,Battarahalli,3,PaontWa,1777,3,2,100.0
Super built-up  Area,17-Jul,Anandapura,3,ViensRK,1576,3,2,59.1
Super built-up  Area,Ready To Move,Neeladri Nagar,3,AdingSV,1167,2,1,38.0
Built-up  Area,Ready To Move,Cleveland Town,3,Coner C,1991,3,2,160.0
Super built-up  Area,Ready To Move,Rachenahalli,3,NRodsen,2721,3,2,113.0
Super built-up  Area,Ready To Move,Thanisandra,3,Bhmesy ,2000,3,2,99.0
Super built-up  Area,Ready To Move,Whitefield,4,Sanne E,2500,4,3,155.0
Super built-up  Area,Ready To Move,Mallasandra,2,GMilse ,1325,2,2,70.0
Super built-up  Area,18-Dec,Hebbal,2,Mahosya,1420,2,1,99.39
Super built-up  Area,18-May,JP Nagar,2,Shestut,1300,2,1,90.87
Super built-up  Area,Ready To Move,Harlur,2,Prncyrn,1290,2,1,87.0
Built-up  Area,Ready To Move,Koramangala,2,Proodt ,1900,2,1,200.0
Built-up  Area,Ready To Move,Sarjapur  Road,3,MJinele,1300,3,2,60.0
Super built-up  Area,Ready To Move,Channasandra,2,Unm 2El,1115,2,1,33.45
Super built-up  Area,Ready To Move,Rajaji Nagar,3,PhestOn,2409,3,2,360.0
Super built-up  Area,19-Mar,Marathahalli,3,Unezes ,1305,2,1,69.0
Super built-up  Area,20-Dec,Kanakpura Road,2,GolusLi,1252,2,1,56.32
Super built-up  Area,Ready To Move,Subramanyapura,2,Chllsev,1313,2,2,66.5
Super built-up  Area,Ready To Move,JCR Layout,2,ARnamru,1160,2,1,41.75
Super built-up  Area,Ready To Move,Subramanyapura,3,Mayne A,1255,2,2,79.0
Built-up  Area,Ready To Move,Bellari Road,2,Pralmat,900,2,1,45.0
Super built-up  Area,Ready To Move,Yelahanka New Town,3,Cerasy ,1700,3,2,90.0
Carpet  Area,Ready To Move,Indira Nagar,3,Gonorir,1875,3,1,180.0
Carpet  Area,Ready To Move,Uttarahalli,3,Baveles,1700,3,2,88.0
Super built-up  Area,Ready To Move,Harlur,3,Prncyrn,1749,3,2,115.0
Built-up  Area,Ready To Move,Abbaiah Reddy Layout,2,Krllael,1200,2,2,50.0
Super built-up  Area,Ready To Move,Ramagondanahalli,3,DNeremo,1610,2,2,115.0
Super built-up  Area,Ready To Move,Electronic City,2,GMown E,1070,2,1,46.0
Built-up  Area,Ready To Move,Indira Nagar,2,VKvenas,1210,2,1,102.0
Super built-up  Area,Ready To Move,Thigalarapalya,4,Prtanha,4190,4,3,380.0
Super built-up  Area,Ready To Move,Tata Nagar,2,Shensit,1364,2,2,70.0
Built-up  Area,Ready To Move,Magadi Road,2,DSellil,1345,2,2,55.0
Super built-up  Area,Ready To Move,Mylasandra,2,Laowsba,1110,2,2,41.0
Built-up  Area,Ready To Move,Kengeri,2,VBvenal,750,2,1,36.0
Built-up  Area,Ready To Move,Motappa Layout,2,Puodse ,1156,2,2,49.5
Super built-up  Area,Ready To Move,Pattandur Agrahara,2,ARvasV ,1247,2,1,59.8
Super built-up  Area,Ready To Move,Kaggalipura,2,Baowsig,950,2,1,48.0
Super built-up  Area,21-Jun,Vijayanagar,3,Saityat,1520,2,1,103.0
Super built-up  Area,Ready To Move,Hennur Road,3,Samittv,2350,3,2,174.0
Super built-up  Area,Ready To Move, Devarabeesana Halli,3,Sorisa ,1672,3,2,150.0
Plot  Area,18-May,Whitefield,4,Prtates,500Sq. Yards,4,2,378.0
Super built-up  Area,18-May,Bommasandra,2,SSestth,920,2,1,37.46
Plot  Area,18-Feb,Sarjapur  Road,3,Cetattu,1200,3,2,70.0
Built-up  Area,Ready To Move,Brindavan Nagar,3,Mancy R,1250,3,2,139.0
Super built-up  Area,Ready To Move,HSR Layout,2,NRosete,1140,2,2,46.0
Super built-up  Area,Ready To Move,Haralur Road,2,NRowse ,1464,2,2,56.0
Super built-up  Area,Ready To Move,Electronics City Phase 1,3,SNdri N,1555,2,1,82.0
Super built-up  Area,Ready To Move,Seetharampalya,2,Mazler ,1166,2,1,53.0
Plot  Area,Ready To Move,Konanakunte,3,Prasa W,2779,3,1,317.0
Super built-up  Area,Ready To Move,Electronic City,3,Palleon,1350,3,2,58.0
Built-up  Area,Ready To Move,Kanaka Nagar,3,SoersTo,1190,3,1,55.0
Super built-up  Area,Ready To Move,Kodichikkanahalli,3,Suntsan,1495,2,2,75.0
Built-up  Area,Ready To Move,Indira Nagar,2,Riousd ,1224,2,2,105.0
Super built-up  Area,Ready To Move,Banashankari Stage III,3,Mandsi ,1350,2,2,68.0
Built-up  Area,Ready To Move,Green Glen Layout,2,Mazzo P,940,2,1,56.8
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,DwntsAp,1100,2,1,55.0
Super built-up  Area,Ready To Move,Kaikondrahalli,2,Sheurre,1300,2,2,61.0
Plot  Area,17-Jun,Sarjapur  Road,3,AztheBr,2600,3,2,200.0
Super built-up  Area,21-Mar,Yelahanka,3,Goues A,1517,3,2,76.3
Super built-up  Area,Ready To Move,Marathahalli,2,Vaoodar,1365,2,2,73.0
Super built-up  Area,Ready To Move,CV Raman Nagar,2,Pu270a ,1392,2,1,98.0
Super built-up  Area,Ready To Move,Hennur Road,3,ChionCo,1586,3,3,93.94
Super built-up  Area,18-May,Electronic City Phase II,2,Sryalan,1065,2,1,30.75
Built-up  Area,Ready To Move,7th Phase JP Nagar,3,Eladero,1575,2,2,120.0
Super built-up  Area,Ready To Move,Gubbalala,3,MauilTr,1745,3,2,110.0
Super built-up  Area,Ready To Move,Nagarbhavi,2,SVdhaig,1223,2,1,60.0
Super built-up  Area,Ready To Move,Bharathi Nagar,2,FoapeWa,1351,2,2,70.0
Super built-up  Area,18-Dec,Hebbal,3,Magiaya,1355,3,1,83.87
Super built-up  Area,Ready To Move,Panathur,3,Saite G,1370,2,2,75.0
Super built-up  Area,18-Jul,Balagere,2,Soresea,1020.07,2,1,68.38
Built-up  Area,Ready To Move,B Narayanapura,3,Niidet ,1460,2,3,73.0
Super built-up  Area,18-Jul,Hosa Road,3,Sosisic,1665,2,3,125.0
Super built-up  Area,18-Dec,Kanakapura,2,GoityEt,1295,2,2,64.0
Super built-up  Area,18-Aug,Haralur Road,2,SNnia E,1230,2,1,78.0
Super built-up  Area,Ready To Move,Kaggalipura,2,Baowsig,1000,2,1,60.0
Super built-up  Area,Ready To Move,Thanisandra,3,Soitya ,1697,3,2,115.0
Super built-up  Area,19-Dec,Jalahalli,2,DSata S,1083,2,1,32.49
Super built-up  Area,Ready To Move,Gottigere,3,Srtusi ,1460,2,2,65.0
Super built-up  Area,18-May,Bommasandra,2,SSestth,1035,2,1,41.43
Super built-up  Area,Ready To Move,Whitefield,2,Iseenst,1285,2,2,55.9
Plot  Area,Ready To Move,Sarjapur,3,Inensba,1200,3,2,78.0
Built-up  Area,Ready To Move,Raghuvanahalli,2,Srncykh,1070,2,1,35.0
Super built-up  Area,Ready To Move,Hegde Nagar,3,SoitaCa,1801,3,2,140.0
Super built-up  Area,18-Dec,Whitefield,3,Prtates,1697,3,2,115.0
Super built-up  Area,Ready To Move,AECS Layout,2,CMoryma,1199,2,2,65.0
Super built-up  Area,Ready To Move,Iblur Village,3,Emine P,2300,3,1,220.0
Super built-up  Area,Ready To Move,Marathahalli,4,PueraRi,3800,4,3,205.0
Super built-up  Area,Ready To Move,Wilson Garden,2,Gonoril,1125,2,1,75.0
Built-up  Area,Ready To Move,Nagarbhavi,2,Jaiewke,956,2,1,49.0
Super built-up  Area,Ready To Move,Sarjapur,2,Sondaka,1000,2,2,30.0
Built-up  Area,Ready To Move,Challaghatta,3,ShanaSp,1639,3,3,123.0
Super built-up  Area,Ready To Move,Electronic City Phase II,2,Coomee ,1219,2,1,61.25
Super built-up  Area,Ready To Move,Yeshwanthpur,3,IBityin,2559,3,2,141.0
Super built-up  Area,18-Feb,Bannerghatta Road,3,DSnjh S,1427,2,2,48.51
Super built-up  Area,Ready To Move,Lingadheeranahalli,3,Soiewre,1530,2,2,90.0
Super built-up  Area,Ready To Move,Marathahalli,4,PueraRi,3895,4,3,220.0
Super built-up  Area,20-Jun,Jakkur,3,SoineC ,1950,3,2,131.0
Super built-up  Area,Ready To Move,Kanakpura Road,2,PuandHi,1339,2,2,62.0
Super built-up  Area,Ready To Move,Whitefield,2,SMuilan,1130,2,1,36.0
Built-up  Area,Ready To Move,Yeshwanthpur,3,IBityin,1430,3,2,72.0
Carpet  Area,18-Dec,Bhoganhalli,4,Rosha I,1451.5,4,1,121.0
Built-up  Area,Ready To Move,KR Garden,2,Saavear,925,2,2,63.0
Super built-up  Area,Ready To Move,Bellandur,4,Sonyxa ,3016,4,3,230.0
Super built-up  Area,Ready To Move,Whitefield,2,SSthamh,1215,2,2,39.0
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2,Puarent,1336,2,2,100.0
Super built-up  Area,Ready To Move,Kanakpura Road,2,JRrnauv,1470,2,2,61.74
Super built-up  Area,Ready To Move,Marathahalli,3,Vaoodar,1785,3,2,94.0
Super built-up  Area,Ready To Move,Thanisandra,2,MenueNo,1220,2,1,43.92
Super built-up  Area,Ready To Move,Dooravani Nagar,3,Puceswn,1570,3,1,115.0
Super built-up  Area,Ready To Move,Mallasandra,3,Puestig,1665,3,2,86.91
Super built-up  Area,Ready To Move,Kathriguppe,3,Prone M,1350,2,1,87.01
Built-up  Area,Ready To Move,Kasavanhalli,3,Salisal,1719,3,2,116.0
Super built-up  Area,18-Dec,Sonnenahalli,2,Skacak ,1011,2,1,50.53
Super built-up  Area,Ready To Move,Whitefield,3,Skstark,1520,2,2,150.0
Carpet  Area,Ready To Move,Uttarahalli,3,Vancya ,1350,2,2,53.0
Super built-up  Area,Ready To Move,Pattandur Agrahara,2,Shvarji,875,2,1,33.0
Super built-up  Area,Ready To Move,Hennur,2,Adity T,1231,2,2,48.0
Built-up  Area,Ready To Move,Munnekollal,3,DaniaNe,1560,3,3,75.0
Built-up  Area,Ready To Move,Sahyadri Layout,3,Adthm R,1750,3,1,180.0
Super built-up  Area,Ready To Move,Devanahalli,2,Brrds O,1080,2,1,44.0
Super built-up  Area,Ready To Move,Begur Road,3,Dhalsh ,1500,2,3,55.0
Super built-up  Area,Ready To Move,Channasandra,2,Unm 2El,1030,2,1,34.5
Super built-up  Area,18-Jul,Hebbal,2,Mahosya,1440,2,1,115.0
Built-up  Area,Ready To Move,Hoodi,2,SMaxyay,1500,2,1,84.0
Super built-up  Area,Ready To Move,Hegde Nagar,3,Sonosty,1584.01,3,1,103.0
Super built-up  Area,Ready To Move,P Krishnappa Layout,3,Apitea ,1340,3,3,77.0
Super built-up  Area,Ready To Move,Green Garden Layout,3,Mas 2 H,1800,3,2,70.0
Super built-up  Area,Ready To Move,Crimson Layout,2,ARntyne,1230,2,2,57.0
Super built-up  Area,Ready To Move,Kodichikkanahalli,2,Aaubyya,1125,2,1,52.0
Plot  Area,18-Aug,Jigani,3,Prllasw,2400,3,2,149.0
Super built-up  Area,18-Jul,Electronic City Phase II,3,Sryalan,1400,2,2,41.58
Super built-up  Area,Ready To Move,Jakkur,3,Ceezey ,1858,3,1,98.3
Built-up  Area,Ready To Move,Ambedkar Nagar,4,SoechHa,3530,4,2,290.0
Built-up  Area,Ready To Move,Kudlu Gate,3,Brlms P,1335,3,2,89.0
Super built-up  Area,Ready To Move,Kundalahalli,3,Dieldli,1397,3,2,110.0
Plot  Area,Ready To Move,Yelahanka New Town,2,KHatsFl,1200,2,1,130.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,GrrvaGr,1140,2,2,38.55
Super built-up  Area,18-Jul,Balagere,2,Soresea,1205.47,2,1,81.0
Super built-up  Area,Ready To Move,Electronic City,3,Naireru,1700,3,2,75.0
Super built-up  Area,21-May,Kanakpura Road,2,GolusLi,1090,2,1,54.54
Super built-up  Area,Ready To Move,Green Glen Layout,2,GaentAp,1050,2,2,48.0
Super built-up  Area,Ready To Move,Whitefield,2,UKe 2nz,1495,2,2,79.5
Super built-up  Area,Ready To Move,Electronic City,3,DSgmax ,1400,2,1,48.0
Super built-up  Area,Ready To Move,Sarjapur  Road,2,Ascid P,944,2,1,35.0
Super built-up  Area,19-Mar,Whitefield,2,Prtates,1216,2,1,66.48
Super built-up  Area,Ready To Move,Thanisandra,3,Moity S,1743,3,2,93.25
Super built-up  Area,Ready To Move,Yelahanka,2,Pyikad ,1274,2,2,48.42
Super built-up  Area,Ready To Move,Mysore Road,3,SaodySa,1512,2,2,110.0
Built-up  Area,Ready To Move,Doddathoguru,3,SryleHo,1875,3,1,55.0
